"word","definition"
"tetraphyllous","Having four leaves; consisting of four distinct leaves or leaflets."
"sessional","Of or pertaining to a session or sessions."
"subkingdom","One of the several primary divisions of either the animal, or vegetable kingdom, as, in zoology, the Vertebrata, Tunicata, Mollusca, Articulata, Molluscoidea, Echinodermata, Coelentera, and the Protozoa; in botany, the Phanerogamia, and the Cryptogamia."""
"xylite","A liquid hydrocarbon found in crude wood spirits."
"cultuses","of Cultus"
"spiritualization","The act of spiritualizing, or the state of being spiritualized."""
"reciprocality","The quality or condition of being reciprocal; reciprocalness."
"sigla","The signs, abbreviations, letters, or characters standing for words, shorthand, etc., in ancient manuscripts, or on coins, medals, etc."""
"haunt","To inhabit or frequent as a specter; to visit as a ghost or apparition."
"cinematical","See Kinematic."
"foolhardily","In a foolhardy manner."
"regard","Matter for consideration; account; condition."
"rigor","The becoming stiff or rigid; the state of being rigid; rigidity; stiffness; hardness."
"herd","Haired."
"signality","The quality or state of being signal or remarkable."
"blackguarding","of Blackguard"
"grease","An inflammation of a horse's heels, suspending the ordinary greasy secretion of the part, and producing dryness and scurfiness, followed by cracks, ulceration, and fungous excrescences."""
"dragonlike","Like a dragon."
"jerk","To make a sudden motion; to move with a start, or by starts."""
"fender","A screen to prevent coals or sparks of an open fire from escaping to the floor."
"placing","of Place"
"polewards","Toward a pole of the earth."
"aetheogamous","Propagated in an unusual way; cryptogamous."
"dirt","Meanness; sordidness."
"stover","Fodder for cattle, especially straw or coarse hay."""
"shield","To avert, as a misfortune; hence, as a supplicatory exclamation, forbid!"""
"officiated","of Officiate"
"reclaimer","One who reclaims."
"admirably","In an admirable manner."
"namby-pamby","Talk or writing which is weakly sentimental or affectedly pretty."
"repair","Place to which one repairs; a haunt; a resort."
"desidiousness","The state or quality of being desidiose, or indolent."""
"diaphanously","Translucently."
"nominately","By name; particularly; namely."
"have","To possess, as something which appertains to, is connected with, or affects, one."""
"quandary","To bring into a state of uncertainty, perplexity, or difficulty."""
"polysyndeton","A figure by which the conjunction is often repeated, as in the sentence, """"We have ships and men and money and stores."""" Opposed to asyndeton."""
"opining","of Opine"
"rich","Composed of valuable or costly materials or ingredients; procured at great outlay; highly valued; precious; sumptuous; costly; as, a rich dress; rich silk or fur; rich presents."""
"roodebok","The pallah."
"ranchman","An owner or occupant of, or laborer on, a ranch; a herdsman."""
"miner","The chattering, or garrulous, honey eater of Australia (Myzantha garrula)."""
"incinerating","of Incinerate"
"welch","See Welsh."
"wreckage","That which has been wrecked; remains of a wreck."
"insane","Causing insanity or madness."
"ethmotrubinal","See Turbinal."
"raggie","Alt. of Raggy"
"compensator","An iron plate or magnet placed near the compass on iron vessels to neutralize the effect of the ship's attraction on the needle."
"meatoscope","A speculum for examining a natural passage, as the urethra."""
"verse","A short division of any composition."
"pimenta","Same as Pimento."
"unconcluding","Inconclusive."
"stevedore","One whose occupation is to load and unload vessels in port; one who stows a cargo in a hold."
"fahlerz","Alt. of Fahlband"
"silva","A description or history of the forest trees of a country."
"innocent","Morally free from guilt; guiltless; not tainted with sin; pure; upright."
"lenses","of Lens"
"inquisitively","In an inquisitive manner."
"shingler","A machine for shingling puddled iron."
"remissive","Remitting; forgiving; abating."
"wizardly","Resembling or becoming a wizard; wizardlike; weird."
"wailer","One who wails or laments."
"flathead","Characterized by flatness of head, especially that produced by artificial means, as a certain tribe of American Indians."""
"vairy","Charged with vair; variegated with shield-shaped figures. See Vair."
"exarticulation","Luxation; the dislocation of a joint."
"frightening","of Frighten"
"ibexes","of Ibex"
"plough","See Plow."
"aurous","Pertaining to, or derived from, gold; -- said of those compounds of gold in which this element has its lower valence; as, aurous oxide."""
"toastmaster","A person who presides at a public dinner or banquet, and announces the toasts."""
"lightman","A man who carries or takes care of a light."
"on","In continuance; without interruption or ceasing; as, sleep on, take your ease; say on; sing on."""
"oss","To prophesy; to presage."
"reel","A frame with radial arms, or a kind of spool, turning on an axis, on which yarn, threads, lines, or the like, are wound; as, a log reel, used by seamen; an angler's reel; a garden reel."""
"burrow","A shelter; esp. a hole in the ground made by certain animals, as rabbits, for shelter and habitation."""
"agaric","A fungus of the genus Agaricus, of many species, of which the common mushroom is an example."""
"howdy","A midwife."
"percipiency","The faculty, act or power of perceiving; perception."""
"strangles","A disease in horses and swine, in which the upper part of the throat, or groups of lymphatic glands elsewhere, swells."""
"belted","Encircled by, or secured with, a belt; as, a belted plaid; girt with a belt, as an honorary distinction; as, a belted knight; a belted earl."""
"ovate","Shaped like an egg, with the lower extremity broadest."""
"transalpine","A native or inhabitant of a country beyond the Alps, that is, out of Italy."""
"consume","To waste away slowly."
"analyses","of Analysis"
"dummy","One who plays a merely nominal part in any action; a sham character."
"maculate","Marked with spots or maculae; blotched; hence, defiled; impure; as, most maculate thoughts."""
"rusticate","To require or compel to reside in the country; to banish or send away temporarily; to impose rustication on."
"fuliginous","Pertaining to soot; sooty; dark; dusky."
"arachnoid","Covered with, or composed of, soft, loose hairs or fibers, so as to resemble a cobweb; cobwebby."""
"grandness","Grandeur."
"quakery","Quakerism."
"septic","Alt. of Septical"
"pseudepigraphy","The ascription of false names of authors to works."
"zea","A genus of large grasses of which the Indian corn (Zea Mays) is the only species known. Its origin is not yet ascertained. See Maize."
"duelist","One who fights in single combat."
"duplicate","To divide into two by natural growth or spontaneous action; as, infusoria duplicate themselves."""
"disintegrator","A machine for grinding or pulverizing by percussion."
"barwood","A red wood of a leguminous tree (Baphia nitida), from Angola and the Gaboon in Africa. It is used as a dyewood, and also for ramrods, violin bows and turner's work."""
"thaumaturgic","Alt. of Thaumaturgical"
"foiling","of Foil"
"visiter","A visitor."
"grilse","A young salmon after its first return from the sea."
"vacancy","An open or unoccupied space between bodies or things; an interruption of continuity; chasm; gap; as, a vacancy between buildings; a vacancy between sentences or thoughts."""
"scrimpness","The state of being scrimp."
"norweyan","Norwegian."
"world-wide","Extended throughout the world; as, world-wide fame."""
"spiritous","Ardent; active."
"retrait","A portrait; a likeness."
"lizard","A piece of rope with thimble or block spliced into one or both of the ends."
"worship","Excellence of character; dignity; worth; worthiness."
"premium","A reward or recompense; a prize to be won by being before another, or others, in a competition; reward or prize to be adjudged; a bounty; as, a premium for good behavior or scholarship, for discoveries, etc."""
"dove's-foot","A small annual species of Geranium, native in England; -- so called from the shape of the leaf."""
"dashy","Calculated to arrest attention; ostentatiously fashionable; showy."
"adjument","Help; support; also, a helper."""
"empierce","To pierce; to impierce."
"antozone","A compound formerly supposed to be modification of oxygen, but now known to be hydrogen dioxide; -- so called because apparently antagonistic to ozone, converting it into ordinary oxygen."""
"pitch","To cover over or smear with pitch."
"milliampere","The thousandth part of one ampere."
"ruin","The act of falling or tumbling down; fall."
"phylactery","Any charm or amulet worn as a preservative from danger or disease."
"monosulphide","A sulphide containing one atom of sulphur, and analogous to a monoxide; -- contrasted with a polysulphide; as, galena is a monosulphide."""
"concupiscibleness","The state of being concupiscible."
"accompliceship","The state of being an accomplice."
"satiated","of Satiate"
"paracyanogen","A polymeric modification of cyanogen, obtained as a brown or black amorphous residue by heating mercuric cyanide."""
"lure","Any enticement; that which invites by the prospect of advantage or pleasure; a decoy."
"depardieux","In God's name; certainly."
"lap","To make a sound like that produced by taking up drink with the tongue."
"glum","Sullenness."
"atypic","Alt. of Atypical"
"dinghy","A ship's smallest boat."
"endemiology","The science which treats of endemic affections."
"tattoo","An indelible mark or figure made by puncturing the skin and introducing some pigment into the punctures; -- a mode of ornamentation practiced by various barbarous races, both in ancient and modern times, and also by some among civilized nations, especially by sailors."""
"countersunk","Beveled on the lower side, so as to fit a chamfered countersink; as, a countersunk nailhead."""
"palsywort","The cowslip (Primula veris); -- so called from its supposed remedial powers."
"eyeglass","The retina."
"frisk","A frolic; a fit of wanton gayety; a gambol: a little playful skip or leap."
"ephemeron","One of the ephemeral flies."
"interdashing","of Interdash"
"entoiled","of Entoil"
"eavesdrop","To stand under the eaves, near a window or at the door, of a house, to listen and learn what is said within doors; hence, to listen secretly to what is said in private."""
"disguisedfy","In disguise."
"shrinking","of Shrink"
"carousingly","In the manner of a carouser."
"flip-flap","The repeated stroke of something long and loose."
"habitual","Formed or acquired by habit or use."
"fishing","of Fish"
"ovule","An ovum."
"gliff","A transient glance; an unexpected view of something that startles one; a sudden fear."
"lathereeve","Alt. of Lathreeve"
"gummer","A punch-cutting tool, or machine for deepening and enlarging the spaces between the teeth of a worn saw."""
"epiornis","One of the gigantic ostrichlike birds of the genus Aepiornis, only recently extinct. Its remains have been found in Madagascar."""
"vindicatory","Tending or serving to vindicate or justify; justificatory; vindicative."
"gadic","Pertaining to, or derived from, the cod (Gadus); -- applied to an acid obtained from cod-liver oil, viz., gadic acid."""
"reader","One who reads much; one who is studious."
"wretched","Worthless; paltry; very poor or mean; miserable; as, a wretched poem; a wretched cabin."""
"austereness","Severity; strictness; austerity."
"execution","The carrying into effect the judgment given in a court of law."
"immold","Alt. of Immould"
"falsification","The showing an item of charge in an account to be wrong."
"low","With a low musical pitch or tone."
"nucle","Same as Nutlet."
